Time_s,Altitude_m,Velocity_ms,Acceleration_ms2,Pressure_Pa
1.9869999999999999,117.058821248636,52.652699627793666,-18.969990474853734,100605
1.9920000000000002,117.32184774103868,52.557910780534975,-18.946428613108516,100597
2.002,117.84647990167984,52.3685751367525,-18.920301427335517,100597
2.0069999999999997,118.10808637675416,52.27402834022872,-18.89689002447736,100589
2.018,118.68195787632665,52.06630939407196,-18.870461920929678,100589
2.0229999999999997,118.9420536681562,51.9720207849987,-18.84671198557527,100581
2.033,119.46083193122384,51.78368561758706,-18.820321496749763,100581
2.038,119.7195152092978,51.6896390592487,-18.796571561395854,100572
2.049,120.28696447966153,51.48302063709986,-18.77014345784862,100572
2.054,120.54414507830168,51.389232266212026,-18.74673205499036,100564
2.064,121.05710045856334,51.201897575171245,-18.720604869217418,100564
2.069,121.31287604702065,51.10835125501829,-18.697043007472235,100556
2.0799999999999996,121.87393720441992,50.9028333568774,-18.670727748090286,100556
2.0839999999999996,122.07739924671324,50.82819639602921,-18.6473539599542,100546
2.0949999999999998,122.63538162947754,50.62321100950505,-18.621189159459473,100546
2.0999999999999996,122.88826503570199,50.53016492753752,-18.597243627551826,100535
2.1109999999999998,123.44297219638102,50.325747553404554,-18.571078827057182,100535
2.1149999999999998,123.64412669584155,50.2515107831047,-18.547705038921286,100525
2.126,124.19577158974569,50.047625920588466,-18.521389779539216,100525
2.131,124.44577832112105,49.95508007680637,-18.497827917793714,100515
2.141,124.94440460475971,49.77023043997703,-18.47170073202071,100515
2.146,125.19302496385882,49.677926646929805,-18.448289329162474,100503
2.157,125.7383664851471,49.47514230842151,-18.421590399617795,100503
2.162,125.98551204905706,49.38309670282483,-18.3981789967601,100494
2.1719999999999997,126.47842350133773,49.199247542366344,-18.372051810987482,100494
2.177,126.72419019654426,49.10744398750454,-18.348489949242364,100484
2.1879999999999997,127.26326246146094,48.9057601730042,-18.32217468986051,100484
2.1919999999999997,127.45873899944321,48.83251742438891,-18.298800901724658,100474
2.203,127.99479000097946,48.63136612150528,-18.27263610122992,100474
2.2079999999999997,128.23771853967716,48.54006280482891,-18.248690569321777,100465
2.219,128.77055566446643,48.33947951433647,-18.222525768826703,100465
2.223,128.96376788019515,48.26663695626954,-18.199151980690136,100456
2.234,129.49360024946415,48.06658617739383,-18.172836721307863,100456
2.239,129.73370613903674,47.97578309890289,-18.14927485956269,100448
2.2489999999999997,130.21255688054927,47.794418992655864,-18.123147673790037,100448
2.254,130.45130253932498,47.70385796489978,-18.099736270932457,100440
2.2649999999999997,130.97495039257097,47.50490771003202,-18.07330816738536,100440
2.27,131.21224914040224,47.41460486972648,-18.04955823203147,100433
2.28,131.68549310200484,47.234241239850306,-18.02316774320595,100433
2.2849999999999997,131.92143912261201,47.144180450279656,-17.999417807851252,100427
2.296,132.43893657607921,46.94633071941982,-17.97298970430353,100427
