Time_s,Altitude_m,Velocity_ms,Acceleration_ms2
9.240000,176.848998,24.554115,9.117596
9.260000,176.356091,24.736362,9.107105
9.280000,175.859541,24.918399,9.096549
9.300000,175.359352,25.100224,9.085926
9.320000,174.855529,25.281836,9.075237
9.340000,174.348075,25.463233,9.064483
9.360000,173.836996,25.644415,9.053664
9.380000,173.322295,25.825380,9.042780
9.400000,172.803976,26.006126,9.031832
9.420000,172.282045,26.186653,9.020820
9.440000,171.756505,26.366959,9.009744
9.460000,171.227360,26.547043,8.998604
9.480000,170.694617,26.726903,8.987402
9.500000,170.158278,26.906539,8.976137
9.520000,169.618348,27.085949,8.964810
9.540000,169.074832,27.265131,8.953420
9.560000,168.527735,27.444086,8.941969
9.580000,167.977061,27.622810,8.930457
9.600000,167.422814,27.801304,8.918884
9.620000,166.865000,27.979566,8.907250
9.640000,166.303622,28.157594,8.895556
9.660000,165.738687,28.335388,8.883802
9.680000,165.170197,28.512946,8.871989
9.700000,164.598159,28.690267,8.860116
9.720000,164.022576,28.867351,8.848184
9.740000,163.443454,29.044195,8.836194
9.760000,162.860797,29.220798,8.824146
9.780000,162.274610,29.397160,8.812040
9.800000,161.684899,29.573280,8.799877
9.820000,161.091667,29.749156,8.787657
9.840000,160.494920,29.924786,8.775379
9.860000,159.894663,30.100171,8.763046
9.880000,159.290901,30.275308,8.750657
9.900000,158.683638,30.450197,8.738212
9.920000,158.072880,30.624837,8.725712
9.940000,157.458632,30.799225,8.713157
9.960000,156.840898,30.973363,8.700547
9.980000,156.219684,31.147247,8.687883
10.000000,155.594995,31.320878,8.675166
10.020000,154.966835,31.494254,8.662395
10.040000,154.335211,31.667374,8.649571
10.060000,153.700127,31.840237,8.636695
10.080000,153.061588,32.012842,8.623766
10.100000,152.419600,32.185187,8.610785
10.120000,151.774167,32.357273,8.597752
10.140000,151.125295,32.529098,8.584669
10.160000,150.472990,32.700660,8.571534
10.180000,149.817255,32.871959,8.558350
10.200000,149.158098,33.042994,8.545115
10.220000,148.495523,33.213764,8.531830
10.240000,147.829535,33.384267,8.518496
10.260000,147.160139,33.554503,8.505113
10.280000,146.487342,33.724472,8.491682
10.300000,145.811148,33.894171,8.478202
10.320000,145.131563,34.063600,8.464674
10.340000,144.448593,34.232758,8.451099
10.360000,143.762242,34.401644,8.437477
10.380000,143.072516,34.570257,8.423808
10.400000,142.379421,34.738596,8.410093
10.420000,141.682962,34.906660,8.396332
10.440000,140.983145,35.074449,8.382525
10.460000,140.279975,35.241961,8.368673
10.480000,139.573458,35.409196,8.354776
10.500000,138.863599,35.576152,8.340835
10.520000,138.150404,35.742830,8.326850
10.540000,137.433879,35.909226,8.312821
10.560000,136.714029,36.075342,8.298748
10.580000,135.990859,36.241176,8.284633
10.600000,135.264376,36.406728,8.270475
10.620000,134.534585,36.571995,8.256275
10.640000,133.801492,36.736979,8.242033
10.660000,133.065103,36.901677,8.227749
10.680000,132.325423,37.066089,8.213425
10.700000,131.582457,37.230214,8.199060
10.720000,130.836213,37.394051,8.184654
10.740000,130.086695,37.557600,8.170209
10.760000,129.333909,37.720859,8.155724
10.780000,128.577862,37.883829,8.141200
10.800000,127.818558,38.046507,8.126637
10.820000,127.056004,38.208894,8.112035
10.840000,126.290206,38.370989,8.097396
10.860000,125.521169,38.532790,8.082718
10.880000,124.748900,38.694298,8.068004
10.900000,123.973404,38.855510,8.053252
10.920000,123.194687,39.016428,8.038464
10.940000,122.412755,39.177049,8.023640
10.960000,121.627614,39.337373,8.008780
10.980000,120.839270,39.497400,7.993885
11.000000,120.047729,39.657129,7.978955
11.020000,119.252997,39.816558,7.963989
11.040000,118.455079,39.975688,7.948990
11.060000,117.653983,40.134518,7.933957
11.080000,116.849714,40.293046,7.918890
11.100000,116.042277,40.451273,7.903790
11.120000,115.231679,40.609198,7.888657
11.140000,114.417927,40.766820,7.873491
11.160000,113.601025,40.924138,7.858294
11.180000,112.780981,41.081151,7.843065
11.200000,111.957800,41.237860,7.827804
11.220000,111.131488,41.394264,7.812513
11.240000,110.302052,41.550361,7.797191
11.260000,109.469498,41.706151,7.781839
11.280000,108.633831,41.861634,7.766457
11.300000,107.795058,42.016810,7.751046
11.320000,106.953185,42.171676,7.735605
11.340000,106.108218,42.326234,7.720136
11.360000,105.260164,42.480482,7.704638
11.380000,104.409028,42.634419,7.689113
11.400000,103.554817,42.788046,7.673559
11.420000,102.697537,42.941362,7.657979
11.440000,101.837194,43.094365,7.642372
11.460000,100.973795,43.247057,7.626738
11.480000,100.107346,43.399435,7.611078
11.500000,99.237852,43.551500,7.595392
11.520000,98.365321,43.703250,7.579681
11.540000,97.489758,43.854687,7.563944
11.560000,96.611170,44.005808,7.548183
11.580000,95.729563,44.156614,7.532398
11.600000,94.844943,44.307104,7.516589
11.620000,93.957317,44.457278,7.500756
11.640000,93.066691,44.607134,7.484899
11.660000,92.173071,44.756674,7.469020
11.680000,91.276464,44.905895,7.453119
11.700000,90.376876,45.054798,7.437195
11.720000,89.474313,45.203383,7.421250
11.740000,88.568782,45.351648,7.405283
11.760000,87.660289,45.499594,7.389295
11.780000,86.748841,45.647220,7.373286
11.800000,85.834443,45.794526,7.357257
11.820000,84.917103,45.941510,7.341207
11.840000,83.996826,46.088174,7.325139
11.860000,83.073619,46.234516,7.309050
11.880000,82.147489,46.380536,7.292943
11.900000,81.218441,46.526234,7.276818
11.920000,80.286483,46.671609,7.260674
11.940000,79.351620,46.816661,7.244512
11.960000,78.413860,46.961389,7.228332
11.980000,77.473208,47.105794,7.212136
12.000000,76.529672,47.249875,7.195922
12.020000,75.583256,47.393631,7.179692
12.040000,74.633969,47.537062,7.163446
12.060000,73.681816,47.680169,7.147184
12.080000,72.726805,47.822950,7.130907
12.100000,71.768940,47.965405,7.114615
12.120000,70.808230,48.107534,7.098308
12.140000,69.844679,48.249337,7.081986
12.160000,68.878296,48.390814,7.065650
12.180000,67.909086,48.531963,7.049301
12.200000,66.937056,48.672786,7.032938
12.220000,65.962213,48.813281,7.016562
12.240000,64.984562,48.953448,7.000174
12.260000,64.004111,49.093288,6.983773
12.280000,63.020866,49.232799,6.967360
12.300000,62.034834,49.371982,6.950936
12.320000,61.046021,49.510837,6.934500
12.340000,60.054433,49.649362,6.918053
12.360000,59.060077,49.787559,6.901596
12.380000,58.062960,49.925426,6.885128
12.400000,57.063089,50.062964,6.868650
12.420000,56.060469,50.200172,6.852162
12.440000,55.055108,50.337050,6.835666
12.460000,54.047012,50.473599,6.819160
12.480000,53.036188,50.609817,6.802645
12.500000,52.022641,50.745704,6.786123
12.520000,51.006380,50.881262,6.769592
12.540000,49.987409,51.016488,6.753053
