Sample,Time_ms,Pressure_Pa
8702,67972,102140
8703,67983,102140
8704,67988,102141
8705,67998,102141
8706,68003,102142
8707,68014,102142
8708,68019,102141
8709,68029,102141
8710,68034,102141
8711,68045,102141
8712,68050,102140
8713,68060,102140
8714,68065,102140
8715,68076,102140
8716,68080,102141
8717,68091,102141
8718,68096,102141
8719,68107,102141
8720,68111,102140
8721,68122,102140
8722,68127,102141
8723,68137,102141
8724,68142,102141
8725,68153,102141
8726,68158,102142
8727,68168,102142
8728,68173,102142
8729,68184,102142
8730,68189,102140
8731,68199,102140
8732,68204,102140
8733,68215,102140
8734,68219,102140
8735,68230,102140
8736,68235,102141
8737,68245,102141
8738,68250,102140
8739,68261,102140
8740,68266,102141
8741,68276,102141
8742,68281,102141
8743,68292,102141
8744,68297,102140
8745,68307,102140
8746,68312,102140
8747,68323,102140
8748,68327,102140
8749,68338,102140
8750,68343,102141
8751,68354,102141
8752,68358,102141
8753,68369,102141
8754,68374,102141
8755,68384,102141
8756,68389,102139
8757,68400,102139
8758,68405,102140
8759,68415,102140
8760,68420,102140
8761,68431,102140
8762,68436,102139
8763,68446,102139
8764,68451,102139
8765,68462,102139
8766,68466,102138
8767,68477,102138
8768,68482,102139
8769,68493,102139
8770,68497,102140
8771,68508,102140
8772,68513,102140
8773,68523,102140
8774,68528,102140
8775,68539,102140
8776,68544,102141
8777,68554,102141
8778,68559,102141
8779,68570,102141
8780,68575,102141
8781,68585,102141
8782,68590,102140
8783,68601,102140
8784,68605,102141
8785,68616,102141
8786,68621,102141
8787,68632,102141
8788,68636,102140
8789,68647,102140
8790,68652,102140
8791,68662,102140
8792,68667,102140
8793,68678,102140
8794,68683,102141
8795,68693,102141
8796,68698,102141
8797,68709,102141
8798,68714,102141
8799,68724,102141
8800,68729,102141
8801,68740,102141
8802,68744,102141
8803,68755,102141
8804,68760,102141
8805,68771,102141
8806,68775,102141
8807,68786,102141
8808,68791,102140
8809,68801,102140
8810,68806,102139
8811,68817,102139
8812,68822,102139
8813,68832,102139
8814,68837,102140
8815,68848,102140
8816,68853,102140
8817,68863,102140
8818,68868,102139
8819,68879,102139
8820,68883,102140
8821,68894,102140
8822,68899,102140
8823,68910,102140
8824,68914,102140
8825,68925,102140
8826,68930,102140
8827,68940,102140
8828,68945,102140
8829,68956,102140
8830,68961,102140
8831,68971,102140
8832,68976,102140
8833,68987,102140
8834,68992,102140
8835,69002,102140
8836,69007,102140
8837,69018,102140
8838,69022,102140
8839,69033,102140
8840,69038,102141
8841,69049,102141
8842,69053,102140
8843,69064,102140
8844,69069,102140
8845,69079,102140
8846,69084,102140
8847,69095,102140
8848,69100,102140
8849,69110,102140
8850,69115,102141
8851,69126,102141
8852,69131,102140
8853,69141,102140
8854,69146,102140
8855,69157,102140
8856,69161,102141
8857,69172,102141
8858,69177,102140
8859,69188,102140
8860,69192,102141
8861,69203,102141
8862,69208,102141
8863,69218,102141
8864,69223,102141
8865,69234,102141
8866,69239,102141
8867,69249,102141
8868,69254,102141
8869,69265,102141
8870,69270,102141
8871,69280,102141
8872,69285,102142
8873,69296,102142
8874,69300,102142
8875,69311,102142
8876,69316,102142
8877,69327,102142
8878,69331,102141
8879,69342,102141
8880,69347,102142
8881,69357,102142
8882,69362,102142
8883,69373,102142
8884,69378,102143
8885,69388,102143
8886,69393,102141
8887,69404,102141
8888,69409,102140
8889,69419,102140
8890,69424,102140
8891,69435,102140
8892,69439,102141
8893,69450,102141
8894,69455,102141
8895,69465,102141
8896,69470,102141
8897,69481,102141
8898,69486,102140
8899,69496,102140
8900,69501,102142
8901,69512,102142
8902,69517,102142
8903,69527,102142
8904,69532,102141
8905,69543,102141
8906,69548,102142
8907,69558,102142
8908,69563,102142
8909,69574,102142
8910,69578,102142
8911,69589,102142
8912,69594,102141
8913,69604,102141
8914,69609,102141
8915,69620,102141
8916,69625,102141
8917,69635,102141
8918,69640,102140
8919,69651,102140
8920,69656,102142
8921,69666,102142
8922,69671,102143
8923,69682,102143
8924,69686,102143
8925,69697,102143
8926,69702,102142
8927,69713,102142
8928,69717,102143
8929,69728,102143
8930,69733,102143
8931,69743,102143
8932,69748,102142
8933,69759,102142
8934,69764,102142
8935,69774,102142
8936,69779,102141
8937,69790,102141
8938,69795,102142
8939,69805,102142
8940,69810,102142
8941,69821,102142
8942,69825,102142
8943,69836,102142
8944,69841,102141
8945,69852,102141
8946,69856,102142
8947,69867,102142
8948,69872,102142
8949,69882,102142
8950,69887,102143
8951,69898,102143
8952,69903,102143
8953,69913,102143
8954,69918,102142
8955,69929,102142
8956,69934,102143
8957,69944,102143
8958,69949,102143
8959,69960,102143
8960,69964,102143
8961,69975,102143
8962,69980,102143
8963,69991,102143
8964,69995,102144
8965,70006,102144
8966,70011,102143
8967,70021,102143
8968,70026,102142
8969,70037,102142
8970,70042,102142
8971,70052,102142
8972,70057,102142
8973,70068,102142
8974,70073,102143
8975,70083,102143
8976,70088,102143
8977,70099,102143
8978,70103,102142
8979,70114,102142
8980,70119,102141
8981,70130,102141
8982,70134,102142
8983,70145,102142
8984,70150,102141
8985,70160,102141
8986,70165,102141
8987,70176,102141
8988,70181,102141
8989,70191,102141
8990,70196,102141
